student_name,student_email,professor_name,professor_email,desired_role,matched_role,compatibility_score
Lisa Stone,katelynbarton@example.com,Roberto Delgado,jfox@hotmail.com,Grader,"['RA', 'Grader']",20.0
Lisa Stone,katelynbarton@example.com,Patrick Dillon,wkim@yahoo.com,Grader,['RA'],0.0
Lisa Stone,katelynbarton@example.com,Dr. Kristin Baldwin,mark05@gmail.com,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Courtney Pitts,lweber@gmail.com,Grader,"['TA', 'Grader']",20.0
Lisa Stone,katelynbarton@example.com,Karen Price,vjohnson@gmail.com,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Elizabeth Perry,millercaitlin@harris.com,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Brenda Thomas,christopherbridges@yahoo.com,Grader,"['RA', 'Grader']",20.0
Lisa Stone,katelynbarton@example.com,Betty Silva,mullinszachary@harris.com,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Stephanie Hall,owatkins@wright.com,Grader,['Grader'],20.0
Lisa Stone,katelynbarton@example.com,Jane Mckenzie,xmatthews@hotmail.com,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Amber Smith MD,calvin04@kelly.com,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Paul Robinson,dustin14@elliott.com,Grader,"['TA', 'Grader']",20.0
Lisa Stone,katelynbarton@example.com,Jamie Bowen,blee@gmail.com,Grader,['Grader'],20.0
Lisa Stone,katelynbarton@example.com,Anthony Ruiz,richard22@yahoo.com,Grader,['Grader'],20.0
Lisa Stone,katelynbarton@example.com,Christopher Bennett,allisonjessica@hotmail.com,Grader,['Grader'],20.0
Lisa Stone,katelynbarton@example.com,Rebecca Terry,william89@hotmail.com,Grader,"['Grader', 'TA']",20.0
Lisa Stone,katelynbarton@example.com,Andrea Hart,roberta65@yahoo.com,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Bradley Elliott,meghan52@haynes.biz,Grader,['Grader'],20.0
Lisa Stone,katelynbarton@example.com,David Stokes,edwardsjose@gmail.com,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Heather Mckinney,karensalazar@ramos-tran.com,Grader,['Grader'],20.0
Lisa Stone,katelynbarton@example.com,Brenda Marquez,fwinters@hotmail.com,Grader,['Grader'],20.0
Kristie Rose,joshua55@example.org,Christopher Smith,louis48@barrett.biz,RA,"['RA', 'TA']",23.33
Kristie Rose,joshua55@example.org,Steven Parker,kaylakelly@gonzalez.com,RA,"['Grader', 'TA']",8.89
Kristie Rose,joshua55@example.org,Beth Taylor,dianaorozco@dunn-flores.info,RA,"['RA', 'Grader']",30.0
Kristie Rose,joshua55@example.org,Chelsea Wallace,joshuabuck@howard.info,RA,"['Grader', 'TA']",5.71
Kristie Rose,joshua55@example.org,Jessica Wood,jennifervasquez@gmail.com,RA,"['TA', 'Grader']",6.67
Kristie Rose,joshua55@example.org,Kimberly Friedman,wendy61@yahoo.com,RA,"['TA', 'Grader']",11.43
Kristie Rose,joshua55@example.org,Ashley Washington,catherineclark@palmer.com,RA,['TA'],6.67
Kristie Rose,joshua55@example.org,Michael Matthews,danielbenton@parker-peters.biz,RA,['Grader'],8.89
Kristie Rose,joshua55@example.org,Nicole Payne,mserrano@scott-harris.com,RA,['TA'],5.71
Kristie Rose,joshua55@example.org,Christopher Lee DVM,dwayne21@gmail.com,RA,"['TA', 'RA']",25.71
Kristie Rose,joshua55@example.org,Scott Foster PhD,justin30@beck-vaughn.org,RA,"['RA', 'Grader']",25.71
Kristie Rose,joshua55@example.org,Jeffrey Weiss,royharper@yahoo.com,RA,['TA'],6.67
Kristie Rose,joshua55@example.org,Shawn Medina,michelledominguez@mccann.com,RA,['Grader'],4.44
Kristie Rose,joshua55@example.org,Jason Smith,tarahardin@gmail.com,RA,['TA'],53.33
Kristie Rose,joshua55@example.org,Mercedes Francis,robinsonpamela@gmail.com,RA,"['RA', 'Grader']",20.0
Kristie Rose,joshua55@example.org,Casey Nunez,ashleybaker@gmail.com,RA,"['RA', 'TA']",28.89
Kristie Rose,joshua55@example.org,Shannon Reyes,elizabethraymond@villa-stewart.com,RA,"['RA', 'Grader']",41.33
Kristie Rose,joshua55@example.org,John Dawson,bautistachristopher@hotmail.com,RA,"['Grader', 'TA']",0.0
Kristie Rose,joshua55@example.org,Jeanne Clark,elizabethmarshall@gmail.com,RA,"['Grader', 'RA']",31.43
Kristie Rose,joshua55@example.org,Victoria Oliver,jenniferherrera@gmail.com,RA,"['Grader', 'RA']",25.71
Kristie Rose,joshua55@example.org,Adrienne Miles,nwilliams@acevedo.com,RA,"['RA', 'TA']",28.89
Kristie Rose,joshua55@example.org,Jennifer Harper,carrandrew@yahoo.com,RA,['RA'],25.71
Kristie Rose,joshua55@example.org,Tony Singh,beth07@yahoo.com,RA,['RA'],24.0
Kristie Rose,joshua55@example.org,Alan Butler,gonzaleztiffany@juarez-gibson.com,RA,"['TA', 'Grader']",12.0
Kristie Rose,joshua55@example.org,Marie Wilkinson,gary45@gmail.com,RA,['RA'],25.71
Kristie Rose,joshua55@example.org,Jessica Davis,amandacollins@lee.net,RA,['TA'],3.33
Kristie Rose,joshua55@example.org,Diana Parker,wendymorris@haley.com,RA,"['Grader', 'TA']",6.67
Kristie Rose,joshua55@example.org,Michael Soto,stephaniejoyce@yahoo.com,RA,['Grader'],0.0
Kristie Rose,joshua55@example.org,Joshua Ross,paul91@gmail.com,RA,['TA'],3.33
Kristie Rose,joshua55@example.org,Roberto Delgado,jfox@hotmail.com,RA,"['RA', 'Grader']",27.27
Kristie Rose,joshua55@example.org,Patrick Dillon,wkim@yahoo.com,RA,['RA'],30.91
Kristie Rose,joshua55@example.org,Dr. Kristin Baldwin,mark05@gmail.com,RA,['TA'],16.0
Kristie Rose,joshua55@example.org,Courtney Pitts,lweber@gmail.com,RA,"['TA', 'Grader']",8.0
Kristie Rose,joshua55@example.org,Karen Price,vjohnson@gmail.com,RA,['TA'],8.0
Kristie Rose,joshua55@example.org,Elizabeth Perry,millercaitlin@harris.com,RA,['TA'],0.0
Kristie Rose,joshua55@example.org,Brenda Thomas,christopherbridges@yahoo.com,RA,"['RA', 'Grader']",26.67
Kristie Rose,joshua55@example.org,Betty Silva,mullinszachary@harris.com,RA,['TA'],23.33
Kristie Rose,joshua55@example.org,Stephanie Hall,owatkins@wright.com,RA,['Grader'],5.71
Kristie Rose,joshua55@example.org,Jane Mckenzie,xmatthews@hotmail.com,RA,['TA'],53.33
Kristie Rose,joshua55@example.org,Amber Smith MD,calvin04@kelly.com,RA,['TA'],3.33
Kristie Rose,joshua55@example.org,Paul Robinson,dustin14@elliott.com,RA,"['TA', 'Grader']",10.0
Kristie Rose,joshua55@example.org,Jamie Bowen,blee@gmail.com,RA,['Grader'],5.71
Kristie Rose,joshua55@example.org,Anthony Ruiz,richard22@yahoo.com,RA,['Grader'],8.0
Kristie Rose,joshua55@example.org,Christopher Bennett,allisonjessica@hotmail.com,RA,['Grader'],7.27
Kristie Rose,joshua55@example.org,Rebecca Terry,william89@hotmail.com,RA,"['Grader', 'TA']",5.71
Kristie Rose,joshua55@example.org,Andrea Hart,roberta65@yahoo.com,RA,['TA'],24.24
Kristie Rose,joshua55@example.org,Bradley Elliott,meghan52@haynes.biz,RA,['Grader'],0.0
Kristie Rose,joshua55@example.org,David Stokes,edwardsjose@gmail.com,RA,['TA'],5.71
Kristie Rose,joshua55@example.org,Heather Mckinney,karensalazar@ramos-tran.com,RA,['Grader'],6.67
Kristie Rose,joshua55@example.org,Brenda Marquez,fwinters@hotmail.com,RA,['Grader'],28.89
Lisa Burton,amandasmith@example.org,Christopher Smith,louis48@barrett.biz,RA,"['RA', 'TA']",20.0
Lisa Burton,amandasmith@example.org,Steven Parker,kaylakelly@gonzalez.com,RA,"['Grader', 'TA']",0.0
Lisa Burton,amandasmith@example.org,Beth Taylor,dianaorozco@dunn-flores.info,RA,"['RA', 'Grader']",20.0
Lisa Burton,amandasmith@example.org,Chelsea Wallace,joshuabuck@howard.info,RA,"['Grader', 'TA']",4.44
Lisa Burton,amandasmith@example.org,Jessica Wood,jennifervasquez@gmail.com,RA,"['TA', 'Grader']",2.67
Lisa Burton,amandasmith@example.org,Kimberly Friedman,wendy61@yahoo.com,RA,"['TA', 'Grader']",0.0
Lisa Burton,amandasmith@example.org,Ashley Washington,catherineclark@palmer.com,RA,['TA'],2.67
Lisa Burton,amandasmith@example.org,Michael Matthews,danielbenton@parker-peters.biz,RA,['Grader'],0.0
Lisa Burton,amandasmith@example.org,Nicole Payne,mserrano@scott-harris.com,RA,['TA'],4.44
Lisa Burton,amandasmith@example.org,Christopher Lee DVM,dwayne21@gmail.com,RA,"['TA', 'RA']",24.44
Lisa Burton,amandasmith@example.org,Scott Foster PhD,justin30@beck-vaughn.org,RA,"['RA', 'Grader']",20.0
Lisa Burton,amandasmith@example.org,Jeffrey Weiss,royharper@yahoo.com,RA,['TA'],0.0
Lisa Burton,amandasmith@example.org,Shawn Medina,michelledominguez@mccann.com,RA,['Grader'],0.0
Lisa Burton,amandasmith@example.org,Jason Smith,tarahardin@gmail.com,RA,['TA'],0.0
Lisa Burton,amandasmith@example.org,Mercedes Francis,robinsonpamela@gmail.com,RA,"['RA', 'Grader']",20.0
Lisa Burton,amandasmith@example.org,Casey Nunez,ashleybaker@gmail.com,RA,"['RA', 'TA']",20.0
Lisa Burton,amandasmith@example.org,Shannon Reyes,elizabethraymond@villa-stewart.com,RA,"['RA', 'Grader']",20.0
Lisa Burton,amandasmith@example.org,John Dawson,bautistachristopher@hotmail.com,RA,"['Grader', 'TA']",0.0
Lisa Burton,amandasmith@example.org,Jeanne Clark,elizabethmarshall@gmail.com,RA,"['Grader', 'RA']",20.0
Lisa Burton,amandasmith@example.org,Victoria Oliver,jenniferherrera@gmail.com,RA,"['Grader', 'RA']",20.0
Lisa Burton,amandasmith@example.org,Adrienne Miles,nwilliams@acevedo.com,RA,"['RA', 'TA']",20.0
Lisa Burton,amandasmith@example.org,Jennifer Harper,carrandrew@yahoo.com,RA,['RA'],20.0
Lisa Burton,amandasmith@example.org,Tony Singh,beth07@yahoo.com,RA,['RA'],20.0
Lisa Burton,amandasmith@example.org,Alan Butler,gonzaleztiffany@juarez-gibson.com,RA,"['TA', 'Grader']",0.0
Lisa Burton,amandasmith@example.org,Marie Wilkinson,gary45@gmail.com,RA,['RA'],20.0
Lisa Burton,amandasmith@example.org,Jessica Davis,amandacollins@lee.net,RA,['TA'],0.0
Lisa Burton,amandasmith@example.org,Diana Parker,wendymorris@haley.com,RA,"['Grader', 'TA']",0.0
Lisa Burton,amandasmith@example.org,Michael Soto,stephaniejoyce@yahoo.com,RA,['Grader'],0.0
Lisa Burton,amandasmith@example.org,Joshua Ross,paul91@gmail.com,RA,['TA'],2.86
Lisa Burton,amandasmith@example.org,Roberto Delgado,jfox@hotmail.com,RA,"['RA', 'Grader']",20.0
Lisa Burton,amandasmith@example.org,Patrick Dillon,wkim@yahoo.com,RA,['RA'],20.0
Lisa Burton,amandasmith@example.org,Dr. Kristin Baldwin,mark05@gmail.com,RA,['TA'],0.0
Lisa Burton,amandasmith@example.org,Courtney Pitts,lweber@gmail.com,RA,"['TA', 'Grader']",0.0
Lisa Burton,amandasmith@example.org,Karen Price,vjohnson@gmail.com,RA,['TA'],0.0
Lisa Burton,amandasmith@example.org,Elizabeth Perry,millercaitlin@harris.com,RA,['TA'],0.0
Lisa Burton,amandasmith@example.org,Brenda Thomas,christopherbridges@yahoo.com,RA,"['RA', 'Grader']",20.0
Lisa Burton,amandasmith@example.org,Betty Silva,mullinszachary@harris.com,RA,['TA'],2.5
Lisa Burton,amandasmith@example.org,Stephanie Hall,owatkins@wright.com,RA,['Grader'],0.0
Lisa Burton,amandasmith@example.org,Jane Mckenzie,xmatthews@hotmail.com,RA,['TA'],0.0
Lisa Burton,amandasmith@example.org,Amber Smith MD,calvin04@kelly.com,RA,['TA'],0.0
Lisa Burton,amandasmith@example.org,Paul Robinson,dustin14@elliott.com,RA,"['TA', 'Grader']",0.0
Lisa Burton,amandasmith@example.org,Jamie Bowen,blee@gmail.com,RA,['Grader'],0.0
Lisa Burton,amandasmith@example.org,Anthony Ruiz,richard22@yahoo.com,RA,['Grader'],0.0
Lisa Burton,amandasmith@example.org,Christopher Bennett,allisonjessica@hotmail.com,RA,['Grader'],0.0
Lisa Burton,amandasmith@example.org,Rebecca Terry,william89@hotmail.com,RA,"['Grader', 'TA']",0.0
Lisa Burton,amandasmith@example.org,Andrea Hart,roberta65@yahoo.com,RA,['TA'],0.0
Lisa Burton,amandasmith@example.org,Bradley Elliott,meghan52@haynes.biz,RA,['Grader'],0.0
Lisa Burton,amandasmith@example.org,David Stokes,edwardsjose@gmail.com,RA,['TA'],0.0
Lisa Burton,amandasmith@example.org,Heather Mckinney,karensalazar@ramos-tran.com,RA,['Grader'],0.0
Lisa Burton,amandasmith@example.org,Brenda Marquez,fwinters@hotmail.com,RA,['Grader'],0.0
Amber George,brandi38@example.com,Christopher Smith,louis48@barrett.biz,TA,"['RA', 'TA']",20.0
Amber George,brandi38@example.com,Steven Parker,kaylakelly@gonzalez.com,TA,"['Grader', 'TA']",23.08
Amber George,brandi38@example.com,Beth Taylor,dianaorozco@dunn-flores.info,TA,"['RA', 'Grader']",3.33
Amber George,brandi38@example.com,Chelsea Wallace,joshuabuck@howard.info,TA,"['Grader', 'TA']",20.0
Amber George,brandi38@example.com,Jessica Wood,jennifervasquez@gmail.com,TA,"['TA', 'Grader']",22.5
Amber George,brandi38@example.com,Kimberly Friedman,wendy61@yahoo.com,TA,"['TA', 'Grader']",23.64
Amber George,brandi38@example.com,Ashley Washington,catherineclark@palmer.com,TA,['TA'],22.5
Amber George,brandi38@example.com,Michael Matthews,danielbenton@parker-peters.biz,TA,['Grader'],3.08
Amber George,brandi38@example.com,Nicole Payne,mserrano@scott-harris.com,TA,['TA'],20.0
Amber George,brandi38@example.com,Christopher Lee DVM,dwayne21@gmail.com,TA,"['TA', 'RA']",20.0
Amber George,brandi38@example.com,Scott Foster PhD,justin30@beck-vaughn.org,TA,"['RA', 'Grader']",0.0
Amber George,brandi38@example.com,Jeffrey Weiss,royharper@yahoo.com,TA,['TA'],20.0
Amber George,brandi38@example.com,Shawn Medina,michelledominguez@mccann.com,TA,['Grader'],0.0
Amber George,brandi38@example.com,Jason Smith,tarahardin@gmail.com,TA,['TA'],24.0
Amber George,brandi38@example.com,Mercedes Francis,robinsonpamela@gmail.com,TA,"['RA', 'Grader']",0.0
Amber George,brandi38@example.com,Casey Nunez,ashleybaker@gmail.com,TA,"['RA', 'TA']",23.08
Amber George,brandi38@example.com,Shannon Reyes,elizabethraymond@villa-stewart.com,TA,"['RA', 'Grader']",2.86
Amber George,brandi38@example.com,John Dawson,bautistachristopher@hotmail.com,TA,"['Grader', 'TA']",20.0
Amber George,brandi38@example.com,Jeanne Clark,elizabethmarshall@gmail.com,TA,"['Grader', 'RA']",3.64
Amber George,brandi38@example.com,Victoria Oliver,jenniferherrera@gmail.com,TA,"['Grader', 'RA']",0.0
Amber George,brandi38@example.com,Adrienne Miles,nwilliams@acevedo.com,TA,"['RA', 'TA']",23.08
Amber George,brandi38@example.com,Jennifer Harper,carrandrew@yahoo.com,TA,['RA'],0.0
Amber George,brandi38@example.com,Tony Singh,beth07@yahoo.com,TA,['RA'],0.0
Amber George,brandi38@example.com,Alan Butler,gonzaleztiffany@juarez-gibson.com,TA,"['TA', 'Grader']",22.67
Amber George,brandi38@example.com,Marie Wilkinson,gary45@gmail.com,TA,['RA'],0.0
Amber George,brandi38@example.com,Jessica Davis,amandacollins@lee.net,TA,['TA'],20.0
Amber George,brandi38@example.com,Diana Parker,wendymorris@haley.com,TA,"['Grader', 'TA']",20.0
Amber George,brandi38@example.com,Michael Soto,stephaniejoyce@yahoo.com,TA,['Grader'],0.0
Amber George,brandi38@example.com,Joshua Ross,paul91@gmail.com,TA,['TA'],20.0
Amber George,brandi38@example.com,Roberto Delgado,jfox@hotmail.com,TA,"['RA', 'Grader']",0.0
Amber George,brandi38@example.com,Patrick Dillon,wkim@yahoo.com,TA,['RA'],2.5
Amber George,brandi38@example.com,Dr. Kristin Baldwin,mark05@gmail.com,TA,['TA'],24.44
Amber George,brandi38@example.com,Courtney Pitts,lweber@gmail.com,TA,"['TA', 'Grader']",22.86
Amber George,brandi38@example.com,Karen Price,vjohnson@gmail.com,TA,['TA'],22.86
Amber George,brandi38@example.com,Elizabeth Perry,millercaitlin@harris.com,TA,['TA'],20.0
Amber George,brandi38@example.com,Brenda Thomas,christopherbridges@yahoo.com,TA,"['RA', 'Grader']",0.0
Amber George,brandi38@example.com,Betty Silva,mullinszachary@harris.com,TA,['TA'],22.35
Amber George,brandi38@example.com,Stephanie Hall,owatkins@wright.com,TA,['Grader'],0.0
Amber George,brandi38@example.com,Jane Mckenzie,xmatthews@hotmail.com,TA,['TA'],24.0
Amber George,brandi38@example.com,Amber Smith MD,calvin04@kelly.com,TA,['TA'],20.0
Amber George,brandi38@example.com,Paul Robinson,dustin14@elliott.com,TA,"['TA', 'Grader']",23.33
Amber George,brandi38@example.com,Jamie Bowen,blee@gmail.com,TA,['Grader'],0.0
Amber George,brandi38@example.com,Anthony Ruiz,richard22@yahoo.com,TA,['Grader'],0.0
Amber George,brandi38@example.com,Christopher Bennett,allisonjessica@hotmail.com,TA,['Grader'],2.67
Amber George,brandi38@example.com,Rebecca Terry,william89@hotmail.com,TA,"['Grader', 'TA']",20.0
Amber George,brandi38@example.com,Andrea Hart,roberta65@yahoo.com,TA,['TA'],22.5
Amber George,brandi38@example.com,Bradley Elliott,meghan52@haynes.biz,TA,['Grader'],0.0
Amber George,brandi38@example.com,David Stokes,edwardsjose@gmail.com,TA,['TA'],20.0
Amber George,brandi38@example.com,Heather Mckinney,karensalazar@ramos-tran.com,TA,['Grader'],0.0
Amber George,brandi38@example.com,Brenda Marquez,fwinters@hotmail.com,TA,['Grader'],3.08
Timothy Holland,kturner@example.net,Christopher Smith,louis48@barrett.biz,Grader,"['RA', 'TA']",0.0
Timothy Holland,kturner@example.net,Steven Parker,kaylakelly@gonzalez.com,Grader,"['Grader', 'TA']",20.0
Timothy Holland,kturner@example.net,Beth Taylor,dianaorozco@dunn-flores.info,Grader,"['RA', 'Grader']",20.0
Timothy Holland,kturner@example.net,Chelsea Wallace,joshuabuck@howard.info,Grader,"['Grader', 'TA']",25.0
Timothy Holland,kturner@example.net,Jessica Wood,jennifervasquez@gmail.com,Grader,"['TA', 'Grader']",22.86
Timothy Holland,kturner@example.net,Kimberly Friedman,wendy61@yahoo.com,Grader,"['TA', 'Grader']",20.0
Timothy Holland,kturner@example.net,Ashley Washington,catherineclark@palmer.com,Grader,['TA'],2.86
Timothy Holland,kturner@example.net,Michael Matthews,danielbenton@parker-peters.biz,Grader,['Grader'],20.0
Timothy Holland,kturner@example.net,Nicole Payne,mserrano@scott-harris.com,Grader,['TA'],5.0
Timothy Holland,kturner@example.net,Christopher Lee DVM,dwayne21@gmail.com,Grader,"['TA', 'RA']",5.0
Timothy Holland,kturner@example.net,Scott Foster PhD,justin30@beck-vaughn.org,Grader,"['RA', 'Grader']",20.0
Timothy Holland,kturner@example.net,Jeffrey Weiss,royharper@yahoo.com,Grader,['TA'],2.86
Timothy Holland,kturner@example.net,Shawn Medina,michelledominguez@mccann.com,Grader,['Grader'],20.0
Timothy Holland,kturner@example.net,Jason Smith,tarahardin@gmail.com,Grader,['TA'],0.0
Timothy Holland,kturner@example.net,Mercedes Francis,robinsonpamela@gmail.com,Grader,"['RA', 'Grader']",20.0
Timothy Holland,kturner@example.net,Casey Nunez,ashleybaker@gmail.com,Grader,"['RA', 'TA']",0.0
Timothy Holland,kturner@example.net,Shannon Reyes,elizabethraymond@villa-stewart.com,Grader,"['RA', 'Grader']",20.0
Timothy Holland,kturner@example.net,John Dawson,bautistachristopher@hotmail.com,Grader,"['Grader', 'TA']",20.0
Timothy Holland,kturner@example.net,Jeanne Clark,elizabethmarshall@gmail.com,Grader,"['Grader', 'RA']",20.0
Timothy Holland,kturner@example.net,Victoria Oliver,jenniferherrera@gmail.com,Grader,"['Grader', 'RA']",20.0
Timothy Holland,kturner@example.net,Adrienne Miles,nwilliams@acevedo.com,Grader,"['RA', 'TA']",0.0
Timothy Holland,kturner@example.net,Jennifer Harper,carrandrew@yahoo.com,Grader,['RA'],5.0
Timothy Holland,kturner@example.net,Tony Singh,beth07@yahoo.com,Grader,['RA'],0.0
Timothy Holland,kturner@example.net,Alan Butler,gonzaleztiffany@juarez-gibson.com,Grader,"['TA', 'Grader']",23.08
Timothy Holland,kturner@example.net,Marie Wilkinson,gary45@gmail.com,Grader,['RA'],0.0
Timothy Holland,kturner@example.net,Jessica Davis,amandacollins@lee.net,Grader,['TA'],0.0
Timothy Holland,kturner@example.net,Diana Parker,wendymorris@haley.com,Grader,"['Grader', 'TA']",20.0
Timothy Holland,kturner@example.net,Michael Soto,stephaniejoyce@yahoo.com,Grader,['Grader'],20.0
Timothy Holland,kturner@example.net,Joshua Ross,paul91@gmail.com,Grader,['TA'],3.08
Timothy Holland,kturner@example.net,Roberto Delgado,jfox@hotmail.com,Grader,"['RA', 'Grader']",23.08
Timothy Holland,kturner@example.net,Patrick Dillon,wkim@yahoo.com,Grader,['RA'],2.86
Timothy Holland,kturner@example.net,Dr. Kristin Baldwin,mark05@gmail.com,Grader,['TA'],0.0
Timothy Holland,kturner@example.net,Courtney Pitts,lweber@gmail.com,Grader,"['TA', 'Grader']",20.0
Timothy Holland,kturner@example.net,Karen Price,vjohnson@gmail.com,Grader,['TA'],0.0
Timothy Holland,kturner@example.net,Elizabeth Perry,millercaitlin@harris.com,Grader,['TA'],0.0
Timothy Holland,kturner@example.net,Brenda Thomas,christopherbridges@yahoo.com,Grader,"['RA', 'Grader']",22.86
Timothy Holland,kturner@example.net,Betty Silva,mullinszachary@harris.com,Grader,['TA'],5.71
Timothy Holland,kturner@example.net,Stephanie Hall,owatkins@wright.com,Grader,['Grader'],20.0
Timothy Holland,kturner@example.net,Jane Mckenzie,xmatthews@hotmail.com,Grader,['TA'],0.0
Timothy Holland,kturner@example.net,Amber Smith MD,calvin04@kelly.com,Grader,['TA'],0.0
Timothy Holland,kturner@example.net,Paul Robinson,dustin14@elliott.com,Grader,"['TA', 'Grader']",20.0
Timothy Holland,kturner@example.net,Jamie Bowen,blee@gmail.com,Grader,['Grader'],25.0
Timothy Holland,kturner@example.net,Anthony Ruiz,richard22@yahoo.com,Grader,['Grader'],23.33
Timothy Holland,kturner@example.net,Christopher Bennett,allisonjessica@hotmail.com,Grader,['Grader'],20.0
Timothy Holland,kturner@example.net,Rebecca Terry,william89@hotmail.com,Grader,"['Grader', 'TA']",20.0
Timothy Holland,kturner@example.net,Andrea Hart,roberta65@yahoo.com,Grader,['TA'],2.86
Timothy Holland,kturner@example.net,Bradley Elliott,meghan52@haynes.biz,Grader,['Grader'],20.0
Timothy Holland,kturner@example.net,David Stokes,edwardsjose@gmail.com,Grader,['TA'],0.0
Timothy Holland,kturner@example.net,Heather Mckinney,karensalazar@ramos-tran.com,Grader,['Grader'],20.0
Timothy Holland,kturner@example.net,Brenda Marquez,fwinters@hotmail.com,Grader,['Grader'],20.0
Peter Taylor,alexandraortiz@example.net,Christopher Smith,louis48@barrett.biz,RA,"['RA', 'TA']",23.33
Peter Taylor,alexandraortiz@example.net,Steven Parker,kaylakelly@gonzalez.com,RA,"['Grader', 'TA']",4.0
Peter Taylor,alexandraortiz@example.net,Beth Taylor,dianaorozco@dunn-flores.info,RA,"['RA', 'Grader']",20.0
Peter Taylor,alexandraortiz@example.net,Chelsea Wallace,joshuabuck@howard.info,RA,"['Grader', 'TA']",0.0
Peter Taylor,alexandraortiz@example.net,Jessica Wood,jennifervasquez@gmail.com,RA,"['TA', 'Grader']",3.08
Peter Taylor,alexandraortiz@example.net,Kimberly Friedman,wendy61@yahoo.com,RA,"['TA', 'Grader']",0.0
Peter Taylor,alexandraortiz@example.net,Ashley Washington,catherineclark@palmer.com,RA,['TA'],3.08
Peter Taylor,alexandraortiz@example.net,Michael Matthews,danielbenton@parker-peters.biz,RA,['Grader'],0.0
Peter Taylor,alexandraortiz@example.net,Nicole Payne,mserrano@scott-harris.com,RA,['TA'],0.0
