student,professor,score,matched_role,student_role
Travis Collins,Ashley Washington,0.36,['TA'],TA
Jonathan Ballard,Kimberly Friedman,0.36,"['TA', 'Grader']",Grader
Miguel Brown,Jessica Wood,0.36,"['TA', 'Grader']",Grader
Ryan Freeman,Kimberly Friedman,0.36,"['TA', 'Grader']",TA
Joseph Smith,Kimberly Friedman,0.36,"['TA', 'Grader']",Grader
David Brock,Steven Parker,0.36,"['Grader', 'TA']",Grader
Tammy Wyatt,Ashley Washington,0.36,['TA'],TA
Austin Landry DDS,Steven Parker,0.36,"['Grader', 'TA']",Grader
David Brock,Michael Matthews,0.36,['Grader'],Grader
Tabitha Cunningham,Ashley Washington,0.36,['TA'],TA
Randy Thomas,Jessica Wood,0.36,"['TA', 'Grader']",Grader
Barbara Fry,Ashley Washington,0.33,['TA'],TA
Susan Harris,Jessica Wood,0.33,"['TA', 'Grader']",TA
Rebekah White,Jessica Wood,0.33,"['TA', 'Grader']",Grader
David Wolfe,Jessica Wood,0.33,"['TA', 'Grader']",Grader
Cody Klein,Steven Parker,0.33,"['Grader', 'TA']",TA
Peggy Chavez,Jessica Wood,0.33,"['TA', 'Grader']",Grader
Cynthia Jensen,Jessica Wood,0.33,"['TA', 'Grader']",TA
Cynthia Jensen,Ashley Washington,0.33,['TA'],TA
Julia Figueroa,Jessica Wood,0.33,"['TA', 'Grader']",TA
Christopher Lin,Jessica Wood,0.33,"['TA', 'Grader']",Grader
Scott Romero,Steven Parker,0.33,"['Grader', 'TA']",Grader
Caleb Potter,Steven Parker,0.33,"['Grader', 'TA']",TA
Brittney Arnold,Jessica Wood,0.33,"['TA', 'Grader']",TA
Juan Burke,Jessica Wood,0.33,"['TA', 'Grader']",TA
Crystal Cooper,Jessica Wood,0.33,"['TA', 'Grader']",TA
Jacqueline Lopez,Steven Parker,0.33,"['Grader', 'TA']",Grader
Andrea Roy,Jessica Wood,0.33,"['TA', 'Grader']",Grader
Roger Johnson,Steven Parker,0.33,"['Grader', 'TA']",TA
Ryan Collins Jr.,Steven Parker,0.33,"['Grader', 'TA']",Grader
Clinton Howard,Ashley Washington,0.33,['TA'],TA
Bonnie Edwards,Christopher Smith,0.32,"['RA', 'TA']",RA
Jonathan Ballard,Beth Taylor,0.3,"['RA', 'Grader']",Grader
Bonnie Edwards,Beth Taylor,0.3,"['RA', 'Grader']",RA
Alfred Estrada,Beth Taylor,0.3,"['RA', 'Grader']",RA
David Brock,Beth Taylor,0.3,"['RA', 'Grader']",Grader
Mark Wolf,Michael Matthews,0.28,['Grader'],Grader
Amber George,Ashley Washington,0.28,['TA'],TA
Amber George,Jessica Wood,0.28,"['TA', 'Grader']",TA
Russell Mason,Jessica Wood,0.28,"['TA', 'Grader']",TA
Roger Johnson,Jessica Wood,0.28,"['TA', 'Grader']",TA
Laura Moore,Ashley Washington,0.28,['TA'],TA
Russell Mason,Ashley Washington,0.28,['TA'],TA
Angela Johnson,Christopher Smith,0.28,"['RA', 'TA']",RA
Maria Banks,Ashley Washington,0.28,['TA'],TA
Richard Cantu,Michael Matthews,0.28,['Grader'],Grader
Michael Bautista,Ashley Washington,0.28,['TA'],TA
Angel Thornton DVM,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Angel Thornton DVM,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Richard Cantu,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Roger Johnson,Ashley Washington,0.28,['TA'],TA
Brandon Perez,Ashley Washington,0.28,['TA'],TA
Christopher Lin,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Christopher Lin,Steven Parker,0.28,"['Grader', 'TA']",Grader
Larry Briggs,Michael Matthews,0.28,['Grader'],Grader
Diana Ross,Christopher Smith,0.28,"['RA', 'TA']",RA
Larry Briggs,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Mr. Walter Henson DDS,Ashley Washington,0.28,['TA'],TA
Maria Banks,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Shawn Walker,Ashley Washington,0.28,['TA'],TA
Shawn Walker,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Richard Cantu,Steven Parker,0.28,"['Grader', 'TA']",Grader
Larry Briggs,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Larry Briggs,Steven Parker,0.28,"['Grader', 'TA']",Grader
Andrea Roy,Steven Parker,0.28,"['Grader', 'TA']",Grader
Mr. Walter Henson DDS,Jessica Wood,0.28,"['TA', 'Grader']",TA
Amanda Jackson,Michael Matthews,0.28,['Grader'],Grader
Amanda Jackson,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Amanda Jackson,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Alice Young,Ashley Washington,0.28,['TA'],TA
Alfred Estrada,Christopher Smith,0.28,"['RA', 'TA']",RA
Tammy Wyatt,Steven Parker,0.28,"['Grader', 'TA']",TA
Juan Burke,Michael Matthews,0.28,['Grader'],TA
Alice Young,Steven Parker,0.28,"['Grader', 'TA']",TA
David Brock,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Austin Landry DDS,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Austin Landry DDS,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Charles Jackson,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Emily Chang,Jessica Wood,0.28,"['TA', 'Grader']",TA
Dana White,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Tabitha Cunningham,Steven Parker,0.28,"['Grader', 'TA']",TA
Tabitha Cunningham,Christopher Smith,0.28,"['RA', 'TA']",TA
Christopher Lin,Michael Matthews,0.28,['Grader'],Grader
Jacqueline Lopez,Michael Matthews,0.28,['Grader'],Grader
Sandra Gomez MD,Jessica Wood,0.28,"['TA', 'Grader']",TA
Sandra Gomez MD,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Sandra Gomez MD,Ashley Washington,0.28,['TA'],TA
Anthony Hoover,Christopher Smith,0.28,"['RA', 'TA']",TA
Jacqueline Lopez,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Anthony Hoover,Ashley Washington,0.28,['TA'],TA
Anita Haney,Christopher Smith,0.28,"['RA', 'TA']",TA
Samantha Gonzales,Jessica Wood,0.28,"['TA', 'Grader']",TA
Andrew Wood,Steven Parker,0.28,"['Grader', 'TA']",Grader
Michael Hayes,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Tammy Wyatt,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Jacqueline Lopez,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Dustin Lowe,Steven Parker,0.28,"['Grader', 'TA']",TA
Andrew Wood,Michael Matthews,0.28,['Grader'],Grader
Andrew Wood,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Travis Collins,Christopher Smith,0.28,"['RA', 'TA']",TA
Anita Haney,Ashley Washington,0.28,['TA'],TA
Brian Austin,Ashley Washington,0.28,['TA'],TA
Tabitha Cunningham,Jessica Wood,0.28,"['TA', 'Grader']",TA
Kurt Brandt,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Tabitha Cunningham,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Brian Austin,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Andrew Wood,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Joseph Smith,Michael Matthews,0.28,['Grader'],Grader
Travis Collins,Steven Parker,0.28,"['Grader', 'TA']",TA
Christopher Ferguson,Steven Parker,0.28,"['Grader', 'TA']",TA
Christopher Ferguson,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Randy Thomas,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Caleb Potter,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Tara Ayers,Steven Parker,0.28,"['Grader', 'TA']",TA
Peggy Chavez,Steven Parker,0.28,"['Grader', 'TA']",Grader
Michael Martinez,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Paul Rogers,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Paul Rogers,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Lisa Davis,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Alexandria Owens,Steven Parker,0.28,"['Grader', 'TA']",Grader
Kristine Fox,Michael Matthews,0.28,['Grader'],Grader
Kristine Fox,Steven Parker,0.28,"['Grader', 'TA']",Grader
Paul Rogers,Michael Matthews,0.28,['Grader'],Grader
Alexandria Owens,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Alexandria Owens,Michael Matthews,0.28,['Grader'],Grader
Natasha Keller,Jessica Wood,0.28,"['TA', 'Grader']",TA
Jorge Vasquez,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Joshua Clark,Christopher Smith,0.28,"['RA', 'TA']",RA
Pamela Baxter,Steven Parker,0.28,"['Grader', 'TA']",TA
Pamela Baxter,Christopher Smith,0.28,"['RA', 'TA']",TA
Michael Martinez,Jessica Wood,0.28,"['TA', 'Grader']",TA
Stephanie Jones,Ashley Washington,0.28,['TA'],TA
Christopher Mcdonald,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Jennifer Lambert,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Jennifer Lambert,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Natasha Keller,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Dylan Castillo,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Dylan Castillo,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Dylan Castillo,Michael Matthews,0.28,['Grader'],Grader
Michael Orozco,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Dylan Castillo,Steven Parker,0.28,"['Grader', 'TA']",Grader
Deanna Nielsen,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Deanna Nielsen,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Jamie Hoffman,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Chad Arroyo,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Samantha Gonzales,Ashley Washington,0.28,['TA'],TA
Samantha Gonzales,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Marissa White,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Harold Rogers,Steven Parker,0.28,"['Grader', 'TA']",TA
Harold Rogers,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Carl Jordan,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Todd Bowen,Steven Parker,0.28,"['Grader', 'TA']",Grader
Anna Scott,Steven Parker,0.28,"['Grader', 'TA']",TA
David Gardner,Michael Matthews,0.28,['Grader'],RA
Brandon Ruiz,Ashley Washington,0.28,['TA'],TA
Caitlyn Nelson,Jessica Wood,0.28,"['TA', 'Grader']",TA
Scott Summers,Steven Parker,0.28,"['Grader', 'TA']",Grader
Scott Summers,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Dakota Jefferson,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Suzanne Mcintosh,Jessica Wood,0.28,"['TA', 'Grader']",TA
Marc Martin,Jessica Wood,0.28,"['TA', 'Grader']",TA
Marc Martin,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Brandon Ruiz,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Ryan Freeman,Ashley Washington,0.28,['TA'],TA
Miguel Brown,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
David Mills,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
David Mills,Steven Parker,0.28,"['Grader', 'TA']",TA
David Mills,Ashley Washington,0.28,['TA'],TA
Barbara Fry,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Nicholas Lloyd,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
David Wolfe,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Douglas Rhodes,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Jeffrey Watson,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Ryan Freeman,Jessica Wood,0.28,"['TA', 'Grader']",TA
Douglas Rhodes,Steven Parker,0.28,"['Grader', 'TA']",Grader
Crystal Cooper,Ashley Washington,0.28,['TA'],TA
Gregory Roach,Michael Matthews,0.28,['Grader'],Grader
Martin Valencia,Christopher Smith,0.28,"['RA', 'TA']",TA
Martin Valencia,Ashley Washington,0.28,['TA'],TA
Dakota Jefferson,Kimberly Friedman,0.28,"['TA', 'Grader']",Grader
Crystal Cooper,Steven Parker,0.28,"['Grader', 'TA']",TA
Barry Mitchell,Ashley Washington,0.28,['TA'],TA
Joseph Smith,Steven Parker,0.28,"['Grader', 'TA']",Grader
Kevin Castaneda DDS,Michael Matthews,0.28,['Grader'],Grader
Travis Collins,Kimberly Friedman,0.28,"['TA', 'Grader']",TA
Peggy Chavez,Michael Matthews,0.28,['Grader'],Grader
Mark Prince,Ashley Washington,0.28,['TA'],TA
Lisa Mills,Christopher Smith,0.28,"['RA', 'TA']",RA
Scott Summers,Michael Matthews,0.28,['Grader'],Grader
Peter Smith,Jessica Wood,0.28,"['TA', 'Grader']",Grader
Angela Johnson,Beth Taylor,0.25,"['RA', 'Grader']",RA
Michael Fisher,Beth Taylor,0.25,"['RA', 'Grader']",RA
Daniel Webb,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Kevin Castaneda DDS,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Allison Moore,Beth Taylor,0.25,"['RA', 'Grader']",RA
Joshua Clark,Beth Taylor,0.25,"['RA', 'Grader']",RA
Jorge Vasquez,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Larry Briggs,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Ryan Collins Jr.,Beth Taylor,0.25,"['RA', 'Grader']",Grader
David Lara,Beth Taylor,0.25,"['RA', 'Grader']",RA
Kristie Rose,Beth Taylor,0.25,"['RA', 'Grader']",RA
Angel Thornton DVM,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Michael Mckinney,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Christopher Lin,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Diana Ross,Beth Taylor,0.25,"['RA', 'Grader']",RA
Christopher Little,Beth Taylor,0.25,"['RA', 'Grader']",RA
Shannon Allen,Beth Taylor,0.25,"['RA', 'Grader']",RA
Kimberly Monroe,Beth Taylor,0.25,"['RA', 'Grader']",RA
Andrew Wood,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Martha Cooper,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Austin Landry DDS,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Robert Strong,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Joshua Mooney,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Maria Carroll,Beth Taylor,0.25,"['RA', 'Grader']",RA
Lisa Mills,Beth Taylor,0.25,"['RA', 'Grader']",RA
Lisa Davis,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Veronica Reynolds,Beth Taylor,0.25,"['RA', 'Grader']",RA
Chad Arroyo,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Dylan Castillo,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Carol Perkins,Beth Taylor,0.25,"['RA', 'Grader']",RA
Justin Davis,Beth Taylor,0.25,"['RA', 'Grader']",RA
Megan Ramirez,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Jacqueline Sullivan,Beth Taylor,0.25,"['RA', 'Grader']",RA
Steven Patel,Beth Taylor,0.25,"['RA', 'Grader']",RA
Paul Rogers,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Joseph Smith,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Mr. Thomas Carter Jr.,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Alexandria Owens,Beth Taylor,0.25,"['RA', 'Grader']",Grader
Patrick Freeman,Beth Taylor,0.25,"['RA', 'Grader']",RA
Roger Johnson,Christopher Smith,0.24,"['RA', 'TA']",TA
Alex Sloan,Christopher Smith,0.24,"['RA', 'TA']",RA
Caleb Potter,Christopher Smith,0.24,"['RA', 'TA']",TA
Shannon Allen,Christopher Smith,0.24,"['RA', 'TA']",RA
Kimberly Monroe,Christopher Smith,0.24,"['RA', 'TA']",RA
Christopher Little,Christopher Smith,0.24,"['RA', 'TA']",RA
Tammy Wyatt,Christopher Smith,0.24,"['RA', 'TA']",TA
Alice Young,Christopher Smith,0.24,"['RA', 'TA']",TA
Kristie Rose,Christopher Smith,0.24,"['RA', 'TA']",RA
David Rush,Christopher Smith,0.24,"['RA', 'TA']",TA
Diana Ross,Ashley Washington,0.24,['TA'],RA
Maria Banks,Christopher Smith,0.24,"['RA', 'TA']",TA
Mr. Walter Henson DDS,Christopher Smith,0.24,"['RA', 'TA']",TA
Renee Walker,Christopher Smith,0.24,"['RA', 'TA']",RA
Samantha Gonzales,Christopher Smith,0.24,"['RA', 'TA']",TA
Dustin Lowe,Christopher Smith,0.24,"['RA', 'TA']",TA
Christopher Ferguson,Christopher Smith,0.24,"['RA', 'TA']",TA
Julia Figueroa,Christopher Smith,0.24,"['RA', 'TA']",TA
Nicole Byrd,Christopher Smith,0.24,"['RA', 'TA']",RA
Veronica Reynolds,Christopher Smith,0.24,"['RA', 'TA']",RA
Luke Hickman,Christopher Smith,0.24,"['RA', 'TA']",RA
Chelsea Becker,Christopher Smith,0.24,"['RA', 'TA']",RA
Jennifer Berry,Christopher Smith,0.24,"['RA', 'TA']",RA
Stephanie Jones,Christopher Smith,0.24,"['RA', 'TA']",TA
Sandra Gomez MD,Christopher Smith,0.24,"['RA', 'TA']",TA
April George,Christopher Smith,0.24,"['RA', 'TA']",RA
Steven Patel,Christopher Smith,0.24,"['RA', 'TA']",RA
Patrick Freeman,Christopher Smith,0.24,"['RA', 'TA']",RA
Natasha Keller,Christopher Smith,0.24,"['RA', 'TA']",TA
David Anderson,Christopher Smith,0.24,"['RA', 'TA']",RA
Ryan Freeman,Christopher Smith,0.24,"['RA', 'TA']",TA
Katherine Burgess,Christopher Smith,0.24,"['RA', 'TA']",RA
Gregory Collins,Christopher Smith,0.24,"['RA', 'TA']",TA
David Mills,Christopher Smith,0.24,"['RA', 'TA']",TA
Alexis Simmons,Christopher Smith,0.24,"['RA', 'TA']",RA
Patrick Johnson,Christopher Smith,0.24,"['RA', 'TA']",RA
Patrick Johnson,Ashley Washington,0.24,['TA'],RA
Justin Davis,Christopher Smith,0.24,"['RA', 'TA']",RA
Jacqueline Sullivan,Christopher Smith,0.24,"['RA', 'TA']",RA
Michael Fisher,Christopher Smith,0.24,"['RA', 'TA']",RA
Allison Moore,Christopher Smith,0.24,"['RA', 'TA']",RA
Maria Carroll,Christopher Smith,0.24,"['RA', 'TA']",RA
Carol Perkins,Christopher Smith,0.24,"['RA', 'TA']",RA
Harold Rogers,Christopher Smith,0.24,"['RA', 'TA']",TA
Lisa Burton,Christopher Smith,0.24,"['RA', 'TA']",RA
David Lara,Christopher Smith,0.24,"['RA', 'TA']",RA
Alfred Estrada,Steven Parker,0.21,"['Grader', 'TA']",RA
Jennifer Miller,Jessica Wood,0.21,"['TA', 'Grader']",RA
Nicole Byrd,Jessica Wood,0.21,"['TA', 'Grader']",RA
Jacqueline Sullivan,Steven Parker,0.21,"['Grader', 'TA']",RA
Jonathan Ballard,Ashley Washington,0.21,['TA'],Grader
Chelsea Bailey,Ashley Washington,0.21,['TA'],Grader
Christopher Russell,Steven Parker,0.21,"['Grader', 'TA']",RA
Colleen Thomas PhD,Jessica Wood,0.21,"['TA', 'Grader']",RA
Ryan Mathews,Steven Parker,0.21,"['Grader', 'TA']",RA
Maria Carroll,Jessica Wood,0.21,"['TA', 'Grader']",RA
Manuel Heath,Steven Parker,0.21,"['Grader', 'TA']",RA
Andrea Roy,Kimberly Friedman,0.2,"['TA', 'Grader']",Grader
Shawn Walker,Christopher Smith,0.2,"['RA', 'TA']",TA
Shawn Walker,Steven Parker,0.2,"['Grader', 'TA']",TA
Shawn Walker,Jessica Wood,0.2,"['TA', 'Grader']",TA
Diana Ross,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Michael Mckinney,Steven Parker,0.2,"['Grader', 'TA']",Grader
Shawn Walker,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Andrea Roy,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Melinda Fowler,Christopher Smith,0.2,"['RA', 'TA']",TA
Lauren Hamilton,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Lauren Hamilton,Nicole Payne,0.2,['TA'],TA
Lauren Hamilton,Ashley Washington,0.2,['TA'],TA
Lauren Hamilton,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Lauren Hamilton,Jessica Wood,0.2,"['TA', 'Grader']",TA
Lauren Hamilton,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Lauren Hamilton,Steven Parker,0.2,"['Grader', 'TA']",TA
Lauren Hamilton,Christopher Smith,0.2,"['RA', 'TA']",TA
Michael Hayes,Michael Matthews,0.2,['Grader'],Grader
Emily Chang,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Andrea Roy,Beth Taylor,0.2,"['RA', 'Grader']",Grader
Larry Briggs,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Melinda Fowler,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Melinda Fowler,Nicole Payne,0.2,['TA'],TA
Melinda Fowler,Ashley Washington,0.2,['TA'],TA
Melinda Fowler,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Melinda Fowler,Jessica Wood,0.2,"['TA', 'Grader']",TA
Melinda Fowler,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Michael Mckinney,Michael Matthews,0.2,['Grader'],Grader
Michael Mckinney,Kimberly Friedman,0.2,"['TA', 'Grader']",Grader
Michael Mckinney,Jessica Wood,0.2,"['TA', 'Grader']",Grader
Tammy Wyatt,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Samuel Diaz,Steven Parker,0.2,"['Grader', 'TA']",Grader
Jesse Ruiz,Christopher Lee DVM,0.2,"['TA', 'RA']",RA
Jesse Ruiz,Beth Taylor,0.2,"['RA', 'Grader']",RA
Jesse Ruiz,Christopher Smith,0.2,"['RA', 'TA']",RA
Clinton Howard,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Clinton Howard,Nicole Payne,0.2,['TA'],TA
Richard Butler,Beth Taylor,0.2,"['RA', 'Grader']",RA
Richard Butler,Christopher Smith,0.2,"['RA', 'TA']",RA
Mr. Walter Henson DDS,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Mr. Walter Henson DDS,Nicole Payne,0.2,['TA'],TA
Mr. Walter Henson DDS,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Michael Mckinney,Chelsea Wallace,0.2,"['Grader', 'TA']",Grader
Julia Figueroa,Nicole Payne,0.2,['TA'],TA
Julia Figueroa,Ashley Washington,0.2,['TA'],TA
Julia Figueroa,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Julia Figueroa,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Julia Figueroa,Steven Parker,0.2,"['Grader', 'TA']",TA
Chad Oconnell,Beth Taylor,0.2,"['RA', 'Grader']",RA
Chad Oconnell,Christopher Smith,0.2,"['RA', 'TA']",RA
Brittney Arnold,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Brittney Arnold,Nicole Payne,0.2,['TA'],TA
Travis Collins,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Samuel Diaz,Michael Matthews,0.2,['Grader'],Grader
Juan Burke,Nicole Payne,0.2,['TA'],TA
Samuel Diaz,Jessica Wood,0.2,"['TA', 'Grader']",Grader
Charles Jackson,Steven Parker,0.2,"['Grader', 'TA']",Grader
Christopher Ferguson,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Christopher Ferguson,Nicole Payne,0.2,['TA'],TA
Christopher Ferguson,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Juan Burke,Christopher Lee DVM,0.2,"['TA', 'RA']",TA
Brittney Arnold,Ashley Washington,0.2,['TA'],TA
Brittney Arnold,Kimberly Friedman,0.2,"['TA', 'Grader']",TA
Brittney Arnold,Chelsea Wallace,0.2,"['Grader', 'TA']",TA
Brittney Arnold,Steven Parker,0.2,"['Grader', 'TA']",TA
Brittney Arnold,Christopher Smith,0.2,"['RA', 'TA']",TA
