student,professor,score,reasons
Shirley Hill,Brenda Thomas,30,matched desired role: RA
Shirley Hill,Anthony Ruiz,5,skill overlap: Natural Language Processing
Shirley Hill,Rebecca Terry,5,skill overlap: Natural Language Processing
Shirley Hill,David Stokes,5,skill overlap: Natural Language Processing
Greg Osborne,Steven Parker,30,matched desired role: Grader
Greg Osborne,Beth Taylor,30,matched desired role: Grader
Greg Osborne,Chelsea Wallace,30,matched desired role: Grader
Greg Osborne,Jessica Wood,30,matched desired role: Grader
Greg Osborne,Kimberly Friedman,30,matched desired role: Grader
Greg Osborne,Michael Matthews,30,matched desired role: Grader
Greg Osborne,Scott Foster PhD,35,skill overlap: Natural Language Processing; matched desired role: Grader
Greg Osborne,Shawn Medina,30,matched desired role: Grader
Greg Osborne,Mercedes Francis,30,matched desired role: Grader
Greg Osborne,Casey Nunez,5,skill overlap: Natural Language Processing
Greg Osborne,Shannon Reyes,30,matched desired role: Grader
Greg Osborne,John Dawson,30,matched desired role: Grader
Greg Osborne,Jeanne Clark,30,matched desired role: Grader
Greg Osborne,Victoria Oliver,30,matched desired role: Grader
Greg Osborne,Alan Butler,30,matched desired role: Grader
Greg Osborne,Jessica Davis,5,skill overlap: Natural Language Processing
Greg Osborne,Diana Parker,30,matched desired role: Grader
Greg Osborne,Michael Soto,30,matched desired role: Grader
Greg Osborne,Joshua Ross,5,skill overlap: Natural Language Processing
Greg Osborne,Roberto Delgado,30,matched desired role: Grader
Greg Osborne,Courtney Pitts,30,matched desired role: Grader
Greg Osborne,Brenda Thomas,30,matched desired role: Grader
Greg Osborne,Stephanie Hall,30,matched desired role: Grader
Greg Osborne,Paul Robinson,30,matched desired role: Grader
Greg Osborne,Jamie Bowen,30,matched desired role: Grader
Greg Osborne,Anthony Ruiz,35,skill overlap: Natural Language Processing; matched desired role: Grader
Greg Osborne,Christopher Bennett,30,matched desired role: Grader
Greg Osborne,Rebecca Terry,35,skill overlap: Natural Language Processing; matched desired role: Grader
Greg Osborne,Bradley Elliott,30,matched desired role: Grader
Greg Osborne,David Stokes,5,skill overlap: Natural Language Processing
Greg Osborne,Heather Mckinney,30,matched desired role: Grader
Greg Osborne,Brenda Marquez,30,matched desired role: Grader
David Johnson,Christopher Smith,30,matched desired role: RA
David Johnson,Steven Parker,40,shared interest in Criminal Justice Reform
David Johnson,Beth Taylor,30,matched desired role: RA
David Johnson,Christopher Lee DVM,30,matched desired role: RA
David Johnson,Scott Foster PhD,30,matched desired role: RA
David Johnson,Mercedes Francis,30,matched desired role: RA
David Johnson,Casey Nunez,70,shared interest in Criminal Justice Reform; matched desired role: RA
David Johnson,Shannon Reyes,30,matched desired role: RA
David Johnson,Jeanne Clark,30,matched desired role: RA
David Johnson,Victoria Oliver,30,matched desired role: RA
David Johnson,Adrienne Miles,30,matched desired role: RA
David Johnson,Jennifer Harper,30,matched desired role: RA
David Johnson,Tony Singh,30,matched desired role: RA
David Johnson,Marie Wilkinson,30,matched desired role: RA
David Johnson,Roberto Delgado,30,matched desired role: RA
David Johnson,Patrick Dillon,70,shared interest in Criminal Justice Reform; matched desired role: RA
David Johnson,Brenda Thomas,30,matched desired role: RA
David Johnson,Paul Robinson,40,shared interest in Criminal Justice Reform
David Johnson,Christopher Bennett,40,shared interest in Criminal Justice Reform
James Davis,Christopher Smith,30,matched desired role: TA
James Davis,Steven Parker,30,matched desired role: TA
James Davis,Chelsea Wallace,30,matched desired role: TA
James Davis,Jessica Wood,30,matched desired role: TA
James Davis,Kimberly Friedman,30,matched desired role: TA
James Davis,Ashley Washington,30,matched desired role: TA
James Davis,Nicole Payne,30,matched desired role: TA
James Davis,Christopher Lee DVM,30,matched desired role: TA
James Davis,Scott Foster PhD,5,skill overlap: Natural Language Processing
James Davis,Jeffrey Weiss,30,matched desired role: TA
James Davis,Jason Smith,30,matched desired role: TA
James Davis,Casey Nunez,35,skill overlap: Natural Language Processing; matched desired role: TA
James Davis,John Dawson,30,matched desired role: TA
James Davis,Adrienne Miles,30,matched desired role: TA
James Davis,Alan Butler,30,matched desired role: TA
James Davis,Jessica Davis,35,skill overlap: Natural Language Processing; matched desired role: TA
James Davis,Diana Parker,30,matched desired role: TA
James Davis,Joshua Ross,35,skill overlap: Natural Language Processing; matched desired role: TA
James Davis,Dr. Kristin Baldwin,30,matched desired role: TA
James Davis,Courtney Pitts,30,matched desired role: TA
James Davis,Karen Price,30,matched desired role: TA
James Davis,Elizabeth Perry,30,matched desired role: TA
James Davis,Betty Silva,30,matched desired role: TA
James Davis,Jane Mckenzie,30,matched desired role: TA
James Davis,Amber Smith MD,30,matched desired role: TA
James Davis,Paul Robinson,30,matched desired role: TA
James Davis,Anthony Ruiz,5,skill overlap: Natural Language Processing
James Davis,Rebecca Terry,35,skill overlap: Natural Language Processing; matched desired role: TA
James Davis,Andrea Hart,30,matched desired role: TA
James Davis,David Stokes,35,skill overlap: Natural Language Processing; matched desired role: TA
Gary Ramsey,Christopher Smith,30,matched desired role: TA
Gary Ramsey,Steven Parker,70,shared interest in Climate Change Modeling; matched desired role: TA
Gary Ramsey,Chelsea Wallace,30,matched desired role: TA
Gary Ramsey,Jessica Wood,30,matched desired role: TA
Gary Ramsey,Kimberly Friedman,30,matched desired role: TA
Gary Ramsey,Ashley Washington,30,matched desired role: TA
Gary Ramsey,Nicole Payne,30,matched desired role: TA
Gary Ramsey,Christopher Lee DVM,30,matched desired role: TA
Gary Ramsey,Jeffrey Weiss,30,matched desired role: TA
Gary Ramsey,Shawn Medina,40,shared interest in Climate Change Modeling
Gary Ramsey,Jason Smith,30,matched desired role: TA
Gary Ramsey,Casey Nunez,30,matched desired role: TA
Gary Ramsey,John Dawson,30,matched desired role: TA
Gary Ramsey,Adrienne Miles,30,matched desired role: TA
Gary Ramsey,Alan Butler,30,matched desired role: TA
Gary Ramsey,Jessica Davis,30,matched desired role: TA
Gary Ramsey,Diana Parker,30,matched desired role: TA
Gary Ramsey,Joshua Ross,30,matched desired role: TA
Gary Ramsey,Dr. Kristin Baldwin,30,matched desired role: TA
Gary Ramsey,Courtney Pitts,30,matched desired role: TA
Gary Ramsey,Karen Price,70,shared interest in Climate Change Modeling; matched desired role: TA
Gary Ramsey,Elizabeth Perry,30,matched desired role: TA
Gary Ramsey,Betty Silva,30,matched desired role: TA
Gary Ramsey,Stephanie Hall,40,shared interest in Climate Change Modeling
Gary Ramsey,Jane Mckenzie,30,matched desired role: TA
Gary Ramsey,Amber Smith MD,30,matched desired role: TA
Gary Ramsey,Paul Robinson,70,shared interest in Climate Change Modeling; matched desired role: TA
Gary Ramsey,Rebecca Terry,30,matched desired role: TA
Gary Ramsey,Andrea Hart,30,matched desired role: TA
Gary Ramsey,David Stokes,30,matched desired role: TA
Brian Hughes,Christopher Smith,30,matched desired role: TA
Brian Hughes,Steven Parker,70,shared interest in Climate Change Modeling; matched desired role: TA
Brian Hughes,Chelsea Wallace,30,matched desired role: TA
Brian Hughes,Jessica Wood,30,matched desired role: TA
Brian Hughes,Kimberly Friedman,30,matched desired role: TA
Brian Hughes,Ashley Washington,30,matched desired role: TA
Brian Hughes,Nicole Payne,30,matched desired role: TA
Brian Hughes,Christopher Lee DVM,30,matched desired role: TA
Brian Hughes,Jeffrey Weiss,30,matched desired role: TA
Brian Hughes,Shawn Medina,40,shared interest in Climate Change Modeling
Brian Hughes,Jason Smith,30,matched desired role: TA
Brian Hughes,Casey Nunez,30,matched desired role: TA
Brian Hughes,John Dawson,30,matched desired role: TA
Brian Hughes,Adrienne Miles,30,matched desired role: TA
Brian Hughes,Alan Butler,30,matched desired role: TA
Brian Hughes,Jessica Davis,30,matched desired role: TA
Brian Hughes,Diana Parker,30,matched desired role: TA
Brian Hughes,Joshua Ross,30,matched desired role: TA
Brian Hughes,Dr. Kristin Baldwin,30,matched desired role: TA
Brian Hughes,Courtney Pitts,30,matched desired role: TA
Brian Hughes,Karen Price,70,shared interest in Climate Change Modeling; matched desired role: TA
Brian Hughes,Elizabeth Perry,30,matched desired role: TA
Brian Hughes,Betty Silva,30,matched desired role: TA
Brian Hughes,Stephanie Hall,40,shared interest in Climate Change Modeling
Brian Hughes,Jane Mckenzie,30,matched desired role: TA
Brian Hughes,Amber Smith MD,30,matched desired role: TA
Brian Hughes,Paul Robinson,70,shared interest in Climate Change Modeling; matched desired role: TA
Brian Hughes,Rebecca Terry,30,matched desired role: TA
Brian Hughes,Andrea Hart,30,matched desired role: TA
Brian Hughes,David Stokes,30,matched desired role: TA
Tyler Carter,Steven Parker,30,matched desired role: Grader
Tyler Carter,Beth Taylor,30,matched desired role: Grader
Tyler Carter,Chelsea Wallace,30,matched desired role: Grader
Tyler Carter,Jessica Wood,30,matched desired role: Grader
Tyler Carter,Kimberly Friedman,30,matched desired role: Grader
Tyler Carter,Michael Matthews,30,matched desired role: Grader
Tyler Carter,Scott Foster PhD,30,matched desired role: Grader
Tyler Carter,Shawn Medina,30,matched desired role: Grader
Tyler Carter,Mercedes Francis,30,matched desired role: Grader
Tyler Carter,Shannon Reyes,30,matched desired role: Grader
Tyler Carter,John Dawson,30,matched desired role: Grader
Tyler Carter,Jeanne Clark,30,matched desired role: Grader
Tyler Carter,Victoria Oliver,30,matched desired role: Grader
Tyler Carter,Alan Butler,30,matched desired role: Grader
Tyler Carter,Diana Parker,30,matched desired role: Grader
Tyler Carter,Michael Soto,30,matched desired role: Grader
Tyler Carter,Roberto Delgado,30,matched desired role: Grader
Tyler Carter,Courtney Pitts,30,matched desired role: Grader
Tyler Carter,Brenda Thomas,30,matched desired role: Grader
Tyler Carter,Stephanie Hall,30,matched desired role: Grader
Tyler Carter,Paul Robinson,30,matched desired role: Grader
Tyler Carter,Jamie Bowen,30,matched desired role: Grader
Tyler Carter,Anthony Ruiz,30,matched desired role: Grader
Tyler Carter,Christopher Bennett,30,matched desired role: Grader
Tyler Carter,Rebecca Terry,30,matched desired role: Grader
Tyler Carter,Bradley Elliott,30,matched desired role: Grader
Tyler Carter,Heather Mckinney,30,matched desired role: Grader
Tyler Carter,Brenda Marquez,30,matched desired role: Grader
Julie Mcfarland,Christopher Smith,30,matched desired role: RA
Julie Mcfarland,Beth Taylor,30,matched desired role: RA
Julie Mcfarland,Christopher Lee DVM,30,matched desired role: RA
Julie Mcfarland,Scott Foster PhD,35,skill overlap: Natural Language Processing; matched desired role: RA
Julie Mcfarland,Mercedes Francis,30,matched desired role: RA
Julie Mcfarland,Casey Nunez,35,skill overlap: Natural Language Processing; matched desired role: RA
Julie Mcfarland,Shannon Reyes,30,matched desired role: RA
Julie Mcfarland,Jeanne Clark,30,matched desired role: RA
Julie Mcfarland,Victoria Oliver,30,matched desired role: RA
Julie Mcfarland,Adrienne Miles,30,matched desired role: RA
Julie Mcfarland,Jennifer Harper,30,matched desired role: RA
Julie Mcfarland,Tony Singh,30,matched desired role: RA
Julie Mcfarland,Marie Wilkinson,30,matched desired role: RA
Julie Mcfarland,Jessica Davis,5,skill overlap: Natural Language Processing
Julie Mcfarland,Joshua Ross,5,skill overlap: Natural Language Processing
Julie Mcfarland,Roberto Delgado,30,matched desired role: RA
Julie Mcfarland,Patrick Dillon,30,matched desired role: RA
Julie Mcfarland,Brenda Thomas,30,matched desired role: RA
Julie Mcfarland,Anthony Ruiz,5,skill overlap: Natural Language Processing
Julie Mcfarland,Rebecca Terry,5,skill overlap: Natural Language Processing
Julie Mcfarland,David Stokes,5,skill overlap: Natural Language Processing
Dean Johnson,Christopher Smith,30,matched desired role: TA
Dean Johnson,Steven Parker,30,matched desired role: TA
Dean Johnson,Chelsea Wallace,30,matched desired role: TA
Dean Johnson,Jessica Wood,30,matched desired role: TA
Dean Johnson,Kimberly Friedman,30,matched desired role: TA
Dean Johnson,Ashley Washington,30,matched desired role: TA
Dean Johnson,Nicole Payne,30,matched desired role: TA
Dean Johnson,Christopher Lee DVM,30,matched desired role: TA
Dean Johnson,Jeffrey Weiss,30,matched desired role: TA
Dean Johnson,Jason Smith,70,shared interest in Genomics; matched desired role: TA
Dean Johnson,Casey Nunez,30,matched desired role: TA
Dean Johnson,Shannon Reyes,40,shared interest in Genomics
Dean Johnson,John Dawson,30,matched desired role: TA
Dean Johnson,Adrienne Miles,30,matched desired role: TA
Dean Johnson,Alan Butler,30,matched desired role: TA
Dean Johnson,Jessica Davis,30,matched desired role: TA
Dean Johnson,Diana Parker,30,matched desired role: TA
Dean Johnson,Joshua Ross,30,matched desired role: TA
Dean Johnson,Dr. Kristin Baldwin,30,matched desired role: TA
Dean Johnson,Courtney Pitts,30,matched desired role: TA
Dean Johnson,Karen Price,30,matched desired role: TA
Dean Johnson,Elizabeth Perry,30,matched desired role: TA
Dean Johnson,Betty Silva,70,shared interest in Genomics; matched desired role: TA
Dean Johnson,Jane Mckenzie,70,shared interest in Genomics; matched desired role: TA
Dean Johnson,Amber Smith MD,30,matched desired role: TA
Dean Johnson,Paul Robinson,30,matched desired role: TA
Dean Johnson,Rebecca Terry,30,matched desired role: TA
Dean Johnson,Andrea Hart,70,shared interest in Genomics; matched desired role: TA
Dean Johnson,David Stokes,30,matched desired role: TA
Dean Johnson,Brenda Marquez,40,shared interest in Genomics
Katherine Melton,Christopher Smith,30,matched desired role: RA
Katherine Melton,Steven Parker,40,shared interest in Climate Change Modeling
Katherine Melton,Beth Taylor,30,matched desired role: RA
Katherine Melton,Christopher Lee DVM,30,matched desired role: RA
Katherine Melton,Scott Foster PhD,30,matched desired role: RA
Katherine Melton,Shawn Medina,40,shared interest in Climate Change Modeling
Katherine Melton,Mercedes Francis,30,matched desired role: RA
Katherine Melton,Casey Nunez,30,matched desired role: RA
Katherine Melton,Shannon Reyes,30,matched desired role: RA
Katherine Melton,Jeanne Clark,30,matched desired role: RA
Katherine Melton,Victoria Oliver,30,matched desired role: RA
Katherine Melton,Adrienne Miles,30,matched desired role: RA
Katherine Melton,Jennifer Harper,30,matched desired role: RA
Katherine Melton,Tony Singh,30,matched desired role: RA
Katherine Melton,Marie Wilkinson,30,matched desired role: RA
Katherine Melton,Roberto Delgado,30,matched desired role: RA
Katherine Melton,Patrick Dillon,30,matched desired role: RA
Katherine Melton,Karen Price,40,shared interest in Climate Change Modeling
Katherine Melton,Brenda Thomas,30,matched desired role: RA
Katherine Melton,Stephanie Hall,40,shared interest in Climate Change Modeling
Katherine Melton,Paul Robinson,40,shared interest in Climate Change Modeling
Todd Thomas,Christopher Smith,30,matched desired role: TA
Todd Thomas,Steven Parker,30,matched desired role: TA
Todd Thomas,Chelsea Wallace,30,matched desired role: TA
Todd Thomas,Jessica Wood,30,matched desired role: TA
Todd Thomas,Kimberly Friedman,30,matched desired role: TA
Todd Thomas,Ashley Washington,30,matched desired role: TA
Todd Thomas,Nicole Payne,30,matched desired role: TA
Todd Thomas,Christopher Lee DVM,30,matched desired role: TA
Todd Thomas,Scott Foster PhD,5,skill overlap: Natural Language Processing
Todd Thomas,Jeffrey Weiss,30,matched desired role: TA
Todd Thomas,Jason Smith,30,matched desired role: TA
Todd Thomas,Casey Nunez,35,skill overlap: Natural Language Processing; matched desired role: TA
Todd Thomas,John Dawson,30,matched desired role: TA
Todd Thomas,Adrienne Miles,30,matched desired role: TA
Todd Thomas,Alan Butler,30,matched desired role: TA
Todd Thomas,Jessica Davis,35,skill overlap: Natural Language Processing; matched desired role: TA
Todd Thomas,Diana Parker,30,matched desired role: TA
Todd Thomas,Joshua Ross,35,skill overlap: Natural Language Processing; matched desired role: TA
Todd Thomas,Dr. Kristin Baldwin,30,matched desired role: TA
Todd Thomas,Courtney Pitts,30,matched desired role: TA
Todd Thomas,Karen Price,30,matched desired role: TA
Todd Thomas,Elizabeth Perry,30,matched desired role: TA
Todd Thomas,Betty Silva,30,matched desired role: TA
Todd Thomas,Jane Mckenzie,30,matched desired role: TA
Todd Thomas,Amber Smith MD,30,matched desired role: TA
Todd Thomas,Paul Robinson,30,matched desired role: TA
Todd Thomas,Anthony Ruiz,5,skill overlap: Natural Language Processing
Todd Thomas,Rebecca Terry,35,skill overlap: Natural Language Processing; matched desired role: TA
Todd Thomas,Andrea Hart,30,matched desired role: TA
Todd Thomas,David Stokes,35,skill overlap: Natural Language Processing; matched desired role: TA
Jacqueline Martin,Christopher Smith,30,matched desired role: TA
Jacqueline Martin,Steven Parker,30,matched desired role: TA
Jacqueline Martin,Chelsea Wallace,30,matched desired role: TA
Jacqueline Martin,Jessica Wood,70,shared interest in Smart Cities; matched desired role: TA
Jacqueline Martin,Kimberly Friedman,30,matched desired role: TA
Jacqueline Martin,Ashley Washington,30,matched desired role: TA
Jacqueline Martin,Nicole Payne,30,matched desired role: TA
Jacqueline Martin,Christopher Lee DVM,30,matched desired role: TA
Jacqueline Martin,Scott Foster PhD,5,skill overlap: Natural Language Processing
Jacqueline Martin,Jeffrey Weiss,70,shared interest in Smart Cities; matched desired role: TA
Jacqueline Martin,Jason Smith,30,matched desired role: TA
Jacqueline Martin,Casey Nunez,35,skill overlap: Natural Language Processing; matched desired role: TA
Jacqueline Martin,John Dawson,30,matched desired role: TA
Jacqueline Martin,Adrienne Miles,30,matched desired role: TA
Jacqueline Martin,Alan Butler,30,matched desired role: TA
Jacqueline Martin,Jessica Davis,35,skill overlap: Natural Language Processing; matched desired role: TA
Jacqueline Martin,Diana Parker,30,matched desired role: TA
Jacqueline Martin,Joshua Ross,35,skill overlap: Natural Language Processing; matched desired role: TA
Jacqueline Martin,Patrick Dillon,40,shared interest in Smart Cities
Jacqueline Martin,Dr. Kristin Baldwin,30,matched desired role: TA
Jacqueline Martin,Courtney Pitts,30,matched desired role: TA
Jacqueline Martin,Karen Price,30,matched desired role: TA
Jacqueline Martin,Elizabeth Perry,30,matched desired role: TA
Jacqueline Martin,Brenda Thomas,40,shared interest in Smart Cities
Jacqueline Martin,Betty Silva,30,matched desired role: TA
Jacqueline Martin,Jane Mckenzie,30,matched desired role: TA
Jacqueline Martin,Amber Smith MD,70,shared interest in Smart Cities; matched desired role: TA
Jacqueline Martin,Paul Robinson,30,matched desired role: TA
Jacqueline Martin,Anthony Ruiz,5,skill overlap: Natural Language Processing
Jacqueline Martin,Rebecca Terry,35,skill overlap: Natural Language Processing; matched desired role: TA
Jacqueline Martin,Andrea Hart,30,matched desired role: TA
Jacqueline Martin,David Stokes,35,skill overlap: Natural Language Processing; matched desired role: TA
Nancy Ferguson,Christopher Smith,30,matched desired role: RA
Nancy Ferguson,Beth Taylor,30,matched desired role: RA
Nancy Ferguson,Christopher Lee DVM,30,matched desired role: RA
Nancy Ferguson,Scott Foster PhD,30,matched desired role: RA
Nancy Ferguson,Mercedes Francis,30,matched desired role: RA
Nancy Ferguson,Casey Nunez,30,matched desired role: RA
Nancy Ferguson,Shannon Reyes,30,matched desired role: RA
Nancy Ferguson,Jeanne Clark,30,matched desired role: RA
Nancy Ferguson,Victoria Oliver,30,matched desired role: RA
Nancy Ferguson,Adrienne Miles,30,matched desired role: RA
Nancy Ferguson,Jennifer Harper,30,matched desired role: RA
Nancy Ferguson,Tony Singh,30,matched desired role: RA
Nancy Ferguson,Marie Wilkinson,30,matched desired role: RA
Nancy Ferguson,Roberto Delgado,30,matched desired role: RA
Nancy Ferguson,Patrick Dillon,30,matched desired role: RA
Nancy Ferguson,Brenda Thomas,30,matched desired role: RA
Larry Garcia,Steven Parker,30,matched desired role: Grader
Larry Garcia,Beth Taylor,30,matched desired role: Grader
Larry Garcia,Chelsea Wallace,30,matched desired role: Grader
Larry Garcia,Jessica Wood,30,matched desired role: Grader
Larry Garcia,Kimberly Friedman,30,matched desired role: Grader
Larry Garcia,Michael Matthews,30,matched desired role: Grader
Larry Garcia,Scott Foster PhD,30,matched desired role: Grader
Larry Garcia,Shawn Medina,30,matched desired role: Grader
Larry Garcia,Mercedes Francis,30,matched desired role: Grader
Larry Garcia,Shannon Reyes,30,matched desired role: Grader
Larry Garcia,John Dawson,30,matched desired role: Grader
Larry Garcia,Jeanne Clark,30,matched desired role: Grader
Larry Garcia,Victoria Oliver,30,matched desired role: Grader
Larry Garcia,Alan Butler,30,matched desired role: Grader
Larry Garcia,Diana Parker,30,matched desired role: Grader
Larry Garcia,Michael Soto,30,matched desired role: Grader
Larry Garcia,Roberto Delgado,30,matched desired role: Grader
Larry Garcia,Courtney Pitts,30,matched desired role: Grader
Larry Garcia,Brenda Thomas,30,matched desired role: Grader
Larry Garcia,Stephanie Hall,30,matched desired role: Grader
Larry Garcia,Paul Robinson,30,matched desired role: Grader
Larry Garcia,Jamie Bowen,30,matched desired role: Grader
Larry Garcia,Anthony Ruiz,30,matched desired role: Grader
Larry Garcia,Christopher Bennett,30,matched desired role: Grader
Larry Garcia,Rebecca Terry,30,matched desired role: Grader
Larry Garcia,Bradley Elliott,30,matched desired role: Grader
Larry Garcia,Heather Mckinney,30,matched desired role: Grader
Larry Garcia,Brenda Marquez,30,matched desired role: Grader
Sarah Rose,Christopher Smith,30,matched desired role: RA
Sarah Rose,Beth Taylor,30,matched desired role: RA
Sarah Rose,Jessica Wood,40,shared interest in Financial Forecasting
Sarah Rose,Ashley Washington,40,shared interest in Financial Forecasting
Sarah Rose,Michael Matthews,40,shared interest in Financial Forecasting
Sarah Rose,Christopher Lee DVM,30,matched desired role: RA
Sarah Rose,Scott Foster PhD,30,matched desired role: RA
Sarah Rose,Mercedes Francis,30,matched desired role: RA
Sarah Rose,Casey Nunez,30,matched desired role: RA
Sarah Rose,Shannon Reyes,30,matched desired role: RA
Sarah Rose,Jeanne Clark,30,matched desired role: RA
Sarah Rose,Victoria Oliver,30,matched desired role: RA
Sarah Rose,Adrienne Miles,70,shared interest in Financial Forecasting; matched desired role: RA
Sarah Rose,Jennifer Harper,30,matched desired role: RA
Sarah Rose,Tony Singh,30,matched desired role: RA
Sarah Rose,Marie Wilkinson,30,matched desired role: RA
Sarah Rose,Roberto Delgado,30,matched desired role: RA
Sarah Rose,Patrick Dillon,30,matched desired role: RA
Sarah Rose,Karen Price,40,shared interest in Financial Forecasting
Sarah Rose,Brenda Thomas,30,matched desired role: RA
Laura Key,Christopher Smith,30,matched desired role: RA
Laura Key,Beth Taylor,30,matched desired role: RA
Laura Key,Christopher Lee DVM,30,matched desired role: RA
Laura Key,Scott Foster PhD,35,skill overlap: Natural Language Processing; matched desired role: RA
Laura Key,Mercedes Francis,30,matched desired role: RA
Laura Key,Casey Nunez,35,skill overlap: Natural Language Processing; matched desired role: RA
Laura Key,Shannon Reyes,30,matched desired role: RA
Laura Key,Jeanne Clark,30,matched desired role: RA
Laura Key,Victoria Oliver,30,matched desired role: RA
Laura Key,Adrienne Miles,30,matched desired role: RA
Laura Key,Jennifer Harper,30,matched desired role: RA
Laura Key,Tony Singh,30,matched desired role: RA
Laura Key,Marie Wilkinson,30,matched desired role: RA
Laura Key,Jessica Davis,5,skill overlap: Natural Language Processing
Laura Key,Joshua Ross,5,skill overlap: Natural Language Processing
Laura Key,Roberto Delgado,30,matched desired role: RA
Laura Key,Patrick Dillon,30,matched desired role: RA
Laura Key,Brenda Thomas,30,matched desired role: RA
Laura Key,Anthony Ruiz,5,skill overlap: Natural Language Processing
Laura Key,Rebecca Terry,5,skill overlap: Natural Language Processing
Laura Key,David Stokes,5,skill overlap: Natural Language Processing
Sheila Johnson,Christopher Smith,30,matched desired role: TA
Sheila Johnson,Steven Parker,30,matched desired role: TA
Sheila Johnson,Chelsea Wallace,30,matched desired role: TA
Sheila Johnson,Jessica Wood,70,shared interest in Financial Forecasting; matched desired role: TA
Sheila Johnson,Kimberly Friedman,30,matched desired role: TA
